policy_id,customer_id,policy_type,provider,premium_amount,coverage_amount,policy_duration_years,policy_start_year,policy_end_year,policy_risk_level,policy_status,customer_income,customer_credit_score,customer_employment
POL_813830,CUST_363615,auto,Soto-Velez,1578,9450,8,2021,2029,low,active,26098,636,retired
POL_169091,CUST_363615,home,Bennett-Moore,1753,135000,10,2017,2027,high,active,26098,636,retired
POL_245060,CUST_114835,life,Calderon-Campbell,2428,190080,2,2021,2023,low,active,34180,749,retired
POL_878360,CUST_600935,health,"Macias, Mathews and Johnson",946,55000,3,2023,2026,medium,active,104340,626,employed
POL_135467,CUST_717113,life,Miller-Watson,1656,158400,5,2016,2021,high,active,59555,712,employed
POL_410181,CUST_717113,travel,"Sanders, Trevino and Hunt",2329,49500,6,2021,2027,low,active,59555,712,employed
POL_620272,CUST_396451,home,"Hampton, Gray and Frazier",702,150000,7,2017,2024,medium,active,74687,582,employed
POL_658512,CUST_396451,travel,Coleman-Kennedy,2688,50000,7,2016,2023,medium,active,74687,582,employed
POL_618895,CUST_696856,auto,Wheeler Ltd,2274,9450,5,2015,2020,low,active,95723,620,employed
POL_171937,CUST_121753,health,"Edwards, Rodriguez and Ortiz",2857,96800,5,2019,2024,low,inactive,58688,711,self-employed
POL_335158,CUST_209680,health,Conner Inc,2765,79200,5,2020,2025,low,active,48981,744,retired
POL_210434,CUST_209680,home,Mccann-Munoz,1689,150000,9,2017,2026,low,active,48981,744,retired
POL_959383,CUST_893188,travel,Howard-Rivera,2063,55000,8,2023,2031,low,active,99614,710,employed
POL_345440,CUST_218972,health,Hernandez PLC,1725,79200,5,2023,2028,medium,active,87727,693,self-employed
POL_144756,CUST_218972,travel,Williams LLC,2035,45000,9,2020,2029,medium,active,87727,693,self-employed
POL_210606,CUST_243139,home,Hoover-Terry,1496,148500,9,2019,2028,high,active,37919,681,retired
POL_974394,CUST_437408,home,Sanders LLC,1921,150000,10,2018,2028,high,active,77582,611,self-employed
POL_639801,CUST_437408,travel,Williams Ltd,875,55000,1,2016,2017,high,active,77582,611,self-employed
POL_718103,CUST_205239,life,"Johnson, Watkins and Palmer",1962,142560,2,2019,2021,medium,active,40852,656,retired
POL_663789,CUST_853629,health,Miller-Griffin,1272,59400,1,2020,2021,high,inactive,87077,672,self-employed
POL_829599,CUST_853629,auto,"Serrano, Kelly and George",672,9450,10,2019,2029,medium,active,87077,672,self-employed
POL_352353,CUST_493049,health,"Patterson, Young and Williams",2267,71280,6,2019,2025,low,active,38833,763,retired
POL_866256,CUST_493049,travel,Williams-Bryant,1997,45000,10,2020,2030,medium,active,38833,763,retired
POL_412600,CUST_943718,life,Alvarez Inc,1252,176000,4,2018,2022,low,active,62946,720,employed
POL_629710,CUST_410244,health,Garcia-Mcdaniel,1522,91476,2,2016,2018,high,active,39605,594,retired
POL_659724,CUST_410244,home,Martinez LLC,1067,148500,2,2020,2022,medium,inactive,39605,594,retired
POL_275211,CUST_362801,life,"Melendez, Lee and Gilbert",1739,72900,1,2019,2020,low,active,34870,719,student
POL_825497,CUST_362801,travel,Jackson Group,2057,40500,4,2023,2027,low,active,34870,719,student
POL_417271,CUST_483629,auto,"Dawson, Myers and Edwards",2026,10395,1,2017,2018,high,active,22583,676,retired
POL_798284,CUST_483629,home,Brown LLC,1631,148500,8,2023,2031,medium,active,22583,676,retired
POL_467192,CUST_963874,life,Green-Cervantes,1161,90000,4,2019,2023,high,active,83897,736,self-employed
POL_760698,CUST_963874,travel,"Jacobs, Poole and Moore",1896,49500,2,2017,2019,low,inactive,83897,736,self-employed
POL_687641,CUST_203831,home,"Allen, Lucas and Caldwell",740,135000,2,2019,2021,high,inactive,62284,761,self-employed
POL_566690,CUST_203831,travel,"Phelps, Newman and West",2339,49500,2,2022,2024,high,active,62284,761,self-employed
POL_975187,CUST_228093,travel,"Austin, Carter and Dickerson",1410,55000,9,2023,2032,medium,active,98115,755,employed
POL_616885,CUST_344316,travel,"Sanchez, Rivera and Sosa",1202,55000,5,2020,2025,low,active,83713,649,employed
POL_265653,CUST_232915,travel,Washington PLC,2297,45000,5,2018,2023,high,active,36426,681,retired
POL_223078,CUST_847006,health,Horton-Zavala,1365,77000,9,2018,2027,medium,active,99245,719,employed
POL_167869,CUST_533914,travel,"Dyer, Meyer and Murphy",1385,45000,7,2020,2027,medium,active,54962,758,self-employed
POL_520564,CUST_802559,health,Burke-Wagner,1998,69300,5,2024,2029,low,active,54530,671,self-employed
POL_407649,CUST_802559,life,"Phelps, Lang and Gray",1122,138600,2,2021,2023,high,active,54530,671,self-employed
POL_272326,CUST_701987,health,Morris Inc,2716,77000,9,2019,2028,medium,active,69348,688,self-employed
POL_864866,CUST_248766,health,Carter Group,830,104544,5,2023,2028,medium,active,37527,633,retired
POL_401139,CUST_248766,life,Henderson and Sons,2869,209088,9,2015,2024,medium,active,37527,633,retired
POL_385818,CUST_747850,health,Reed Inc,2292,49500,5,2017,2022,high,active,95028,628,employed
POL_118944,CUST_157443,auto,"Martinez, Thomas and Murray",1352,11550,4,2019,2023,low,active,47902,748,self-employed
POL_770959,CUST_157443,travel,Parsons-Sheppard,1811,55000,1,2020,2021,medium,active,47902,748,self-employed
POL_287721,CUST_181644,health,Foster LLC,2470,69300,6,2018,2024,low,active,41013,781,employed
POL_711941,CUST_181644,home,Orozco-Gilmore,1012,135000,10,2019,2029,low,active,41013,781,employed
POL_581823,CUST_649414,health,Huff and Sons,2549,87120,8,2020,2028,high,active,37548,695,self-employed
POL_897038,CUST_649414,home,Stuart Inc,1693,148500,3,2016,2019,high,active,37548,695,self-employed
POL_878345,CUST_731661,life,"Adams, Brown and Moore",1724,156816,5,2018,2023,low,active,25005,760,retired
POL_236328,CUST_720148,life,"Nicholson, Brown and Hansen",1007,191664,6,2017,2023,medium,inactive,113889,721,employed
POL_437947,CUST_720148,home,Brown-Torres,1974,181500,8,2021,2029,medium,active,113889,721,employed
POL_354942,CUST_450905,home,"George, Thompson and Fuller",659,150000,4,2021,2025,low,active,72472,721,employed
POL_546079,CUST_450905,travel,George-Mitchell,2461,50000,2,2017,2019,low,active,72472,721,employed
POL_535216,CUST_444432,health,Krause-Hughes,1052,69300,3,2019,2022,low,active,35341,792,self-employed
POL_564415,CUST_444432,life,Hardin-Vargas,2527,138600,2,2021,2023,high,active,35341,792,self-employed
POL_834895,CUST_926403,life,Brown PLC,1936,232320,5,2015,2020,low,active,47748,697,retired
POL_554088,CUST_926403,travel,Jensen-Marshall,1512,55000,10,2018,2028,low,active,47748,697,retired
POL_899978,CUST_349068,home,Cain Ltd,1615,165000,7,2021,2028,medium,active,42070,793,retired
POL_453873,CUST_362147,home,Hernandez-Wright,880,165000,9,2015,2024,high,active,82993,550,self-employed
POL_596024,CUST_362147,travel,"Johnson, Cooper and Berry",2298,60500,4,2023,2027,high,active,82993,550,self-employed
POL_759462,CUST_535050,life,Hinton LLC,3004,118800,4,2015,2019,medium,active,35496,749,self-employed
POL_620380,CUST_326130,life,"Hendricks, Carpenter and Smith",1292,132000,4,2020,2024,medium,active,81770,705,employed
POL_588366,CUST_326130,home,"Pruitt, Munoz and Fisher",1789,150000,5,2018,2023,low,active,81770,705,employed
POL_723689,CUST_550089,health,Carrillo PLC,1440,69300,2,2022,2024,medium,active,79472,682,employed
POL_970673,CUST_550089,travel,"Barker, Bailey and Jones",904,49500,2,2017,2019,low,active,79472,682,employed
POL_128720,CUST_926823,health,"Reyes, Scott and Johnson",2850,59400,9,2023,2032,medium,active,34435,705,self-employed
POL_119604,CUST_926823,home,Garrett LLC,2347,135000,1,2017,2018,high,active,34435,705,self-employed
POL_695980,CUST_579911,life,"Tucker, Mcdowell and Schneider",2432,145200,9,2021,2030,high,active,45811,580,employed
POL_758149,CUST_579911,home,"Bishop, Flores and Mejia",2007,165000,9,2024,2033,high,active,45811,580,employed
POL_305724,CUST_879414,auto,Key-Mullins,2082,10500,8,2021,2029,low,active,83438,686,self-employed
POL_813675,CUST_546815,health,Vincent-Larson,2341,77000,10,2020,2030,high,active,95640,721,employed
POL_585214,CUST_546815,travel,Caldwell Ltd,1013,50000,2,2022,2024,high,active,95640,721,employed
POL_547272,CUST_559457,health,Brown and Sons,1343,96800,8,2019,2027,high,active,47993,788,self-employed
POL_117064,CUST_484774,health,West Inc,2084,40500,10,2023,2033,medium,active,90181,668,employed
POL_456964,CUST_615060,life,Fischer and Sons,1308,128304,3,2020,2023,high,active,32192,651,retired
POL_782448,CUST_615060,home,"Liu, Torres and Fitzpatrick",1591,121500,3,2019,2022,medium,active,32192,651,retired
POL_222688,CUST_348235,auto,Smith Inc,865,9450,9,2020,2029,medium,active,73767,669,self-employed
POL_408236,CUST_773540,health,Ellis-Kerr,797,54450,2,2021,2023,medium,active,112305,754,employed
POL_102670,CUST_773540,travel,"Yates, Odonnell and Powell",414,60500,9,2017,2026,high,active,112305,754,employed
POL_812525,CUST_644103,life,Jordan Ltd,758,132000,2,2019,2021,high,active,96704,719,employed
POL_100889,CUST_377511,health,"Holmes, Jones and Oneill",1066,96800,9,2018,2027,high,active,70267,668,self-employed
POL_413242,CUST_377511,travel,Mitchell and Sons,1259,55000,3,2022,2025,low,active,70267,668,self-employed
POL_431065,CUST_736129,health,Leon-Evans,1275,116160,7,2015,2022,high,active,55754,730,retired
POL_198647,CUST_745270,life,Myers-Curtis,2695,203280,3,2017,2020,low,inactive,44283,705,retired
POL_231487,CUST_152995,home,Atkinson and Sons,513,148500,6,2017,2023,low,active,30442,758,retired
POL_561584,CUST_152995,travel,Clark Group,1545,49500,1,2022,2023,high,active,30442,758,retired
POL_264968,CUST_901535,health,"Collier, Mills and Nunez",2031,77000,4,2015,2019,low,active,96482,657,employed
POL_842224,CUST_901535,life,Thomas-Gibson,1001,154000,8,2017,2025,high,active,96482,657,employed
POL_823959,CUST_943019,health,Singleton-Reed,1213,87120,4,2021,2025,high,active,45814,680,retired
POL_120077,CUST_943019,travel,Simmons-Perkins,2013,55000,2,2019,2021,high,active,45814,680,retired
POL_883305,CUST_806537,travel,"Graves, Nguyen and Evans",2432,50000,8,2019,2027,high,active,40649,676,self-employed
POL_244494,CUST_498658,travel,Ibarra Inc,1811,45000,2,2019,2021,medium,active,47401,612,self-employed
POL_625768,CUST_651002,health,Perry Inc,1301,79200,3,2023,2026,high,active,97807,717,employed
POL_874828,CUST_651002,life,"Phillips, Howard and Rogers",677,158400,2,2018,2020,low,active,97807,717,employed
POL_925043,CUST_934042,life,Mcdonald LLC,1423,138600,9,2018,2027,medium,inactive,69981,715,self-employed
POL_215011,CUST_934042,auto,Lopez Ltd,639,9450,10,2021,2031,low,active,69981,715,self-employed
POL_738612,CUST_689318,auto,"Stephens, Cruz and Graves",978,11550,9,2022,2031,medium,active,80663,700,self-employed
POL_721189,CUST_689318,home,Martin LLC,2013,165000,10,2016,2026,low,active,80663,700,self-employed
POL_415024,CUST_784607,life,"Schaefer, Hill and Luna",975,212960,10,2017,2027,medium,active,109604,685,employed
POL_117406,CUST_138105,life,"Guerrero, Kelly and Montoya",1868,166320,6,2018,2024,medium,active,23877,615,retired
POL_411939,CUST_270387,life,Singleton-Spence,3064,190080,3,2021,2024,high,active,20607,674,retired
POL_939215,CUST_270387,home,Rodriguez and Sons,848,135000,5,2015,2020,high,active,20607,674,retired
POL_925787,CUST_360096,health,Jackson-Johnson,2258,71280,1,2018,2019,low,active,57210,679,retired
POL_392317,CUST_360096,home,"Chavez, Mendez and Wilson",716,135000,6,2015,2021,low,active,57210,679,retired
POL_237948,CUST_744481,auto,Waters Group,1088,20250,9,2024,2033,medium,inactive,74282,651,employed
POL_565190,CUST_744481,travel,"Newman, Rivera and Ramirez",1677,49500,9,2023,2032,medium,inactive,74282,651,employed
POL_698963,CUST_479358,travel,Davis-Adkins,646,50000,8,2017,2025,low,active,76002,690,self-employed
POL_976804,CUST_584838,health,Graves-Ramos,1701,96800,5,2021,2026,medium,active,83007,724,employed
POL_881140,CUST_584838,home,Good-Pacheco,709,165000,9,2023,2032,medium,active,83007,724,employed
POL_943542,CUST_242007,home,"Williams, Riley and Wall",511,148500,9,2016,2025,low,active,24786,813,retired
POL_766982,CUST_892911,life,"Goodwin, Estrada and Berry",2738,166320,2,2015,2017,low,inactive,44739,710,retired
POL_920736,CUST_892911,travel,"Moore, Burns and Howard",729,45000,9,2015,2024,high,active,44739,710,retired
POL_701643,CUST_726822,health,Simpson Ltd,626,84700,8,2017,2025,low,inactive,72441,715,employed
POL_650244,CUST_726822,travel,Sims-Grant,1466,60500,8,2017,2025,high,active,72441,715,employed
POL_290072,CUST_792282,auto,"Washington, Fields and Moreno",804,10395,4,2017,2021,medium,inactive,35357,695,retired
POL_714317,CUST_792282,travel,"Foster, Williams and Torres",2594,49500,4,2017,2021,low,active,35357,695,retired
POL_291146,CUST_352673,home,"Espinoza, Cardenas and Smith",2759,165000,2,2015,2017,high,active,66428,584,self-employed
POL_310497,CUST_352673,travel,"Atkinson, Hoffman and Martinez",1470,55000,2,2017,2019,low,active,66428,584,self-employed
POL_841614,CUST_859782,home,"Reed, Sanchez and Thompson",1048,150000,8,2018,2026,medium,active,57296,698,self-employed
POL_305328,CUST_621433,home,Gregory-Russell,948,135000,3,2021,2024,low,active,59610,847,retired
POL_118862,CUST_621433,travel,Jones-Carter,2444,49500,8,2017,2025,low,active,59610,847,retired
POL_912441,CUST_973844,life,Hughes PLC,1737,203280,5,2024,2029,low,active,40507,688,retired
POL_291744,CUST_150871,travel,"Murphy, Lyons and King",1587,55000,5,2017,2022,low,active,60200,718,self-employed
POL_791175,CUST_388086,health,Flores-Combs,1695,59400,7,2019,2026,low,active,68668,697,employed
POL_561765,CUST_525750,auto,Fernandez Ltd,1601,24750,3,2020,2023,low,active,54026,629,employed
POL_573234,CUST_525750,home,"French, Lewis and Kim",1407,165000,9,2023,2032,high,active,54026,629,employed
POL_807387,CUST_776234,home,Brown-Collins,673,150000,6,2021,2027,low,active,52255,768,employed
POL_155983,CUST_251195,life,Martin PLC,2037,132000,10,2022,2032,medium,active,47766,745,self-employed
POL_151110,CUST_202430,health,Brewer-Simmons,1525,74844,5,2023,2028,high,active,35759,747,retired
POL_457948,CUST_358421,life,Bernard Inc,1569,209088,6,2021,2027,medium,active,21941,645,retired
POL_878364,CUST_358421,home,Keller-Jones,1740,148500,4,2023,2027,medium,active,21941,645,retired
POL_857908,CUST_570646,health,Austin and Sons,1406,55000,9,2015,2024,high,active,50753,784,self-employed
POL_259459,CUST_570646,life,Graham-Shaw,1046,110000,2,2021,2023,high,inactive,50753,784,self-employed
POL_602490,CUST_415759,travel,Singh-Burton,2248,49500,8,2015,2023,medium,active,86604,615,self-employed
POL_544669,CUST_107096,home,Yu-Wolfe,2046,165000,9,2023,2032,low,active,61734,735,self-employed
POL_767746,CUST_614858,home,Lewis-Cooper,1234,150000,1,2022,2023,low,active,48220,831,retired
POL_131510,CUST_988970,life,"Clark, Ramirez and Austin",1056,169400,6,2018,2024,low,active,117624,640,employed
POL_264347,CUST_988970,home,Black-Reese,477,165000,6,2021,2027,high,inactive,117624,640,employed
POL_280644,CUST_722665,health,Shepherd LLC,1253,83160,8,2024,2032,high,inactive,30101,666,retired
POL_980117,CUST_722665,travel,Simmons Inc,1806,45000,4,2020,2024,medium,active,30101,666,retired
POL_276611,CUST_624776,home,Little-James,2252,150000,5,2024,2029,high,active,79327,705,self-employed
POL_166369,CUST_830609,auto,"Rivera, Schmidt and Espinoza",1373,11550,9,2021,2030,low,active,55213,669,employed
POL_554507,CUST_830609,home,Williams LLC,922,165000,2,2020,2022,medium,active,55213,669,employed
POL_681834,CUST_165602,life,Thomas LLC,1330,142560,5,2023,2028,high,active,21913,704,retired
POL_959919,CUST_280908,health,Acosta Inc,1476,83160,5,2018,2023,medium,active,27468,636,retired
POL_618315,CUST_280908,travel,Campbell-Fox,2563,45000,9,2015,2024,low,active,27468,636,retired
POL_330734,CUST_766371,life,Short-Alexander,2545,171072,5,2018,2023,low,active,28778,728,retired
POL_787840,CUST_766371,home,Vazquez-Montoya,1777,121500,10,2022,2032,high,active,28778,728,retired
POL_911739,CUST_817956,home,Holder-Fisher,2400,121500,6,2019,2025,medium,active,32261,644,retired
POL_597834,CUST_963274,health,Wilson-Martinez,1436,64152,3,2020,2023,high,active,39142,792,retired
POL_963416,CUST_963274,travel,Weber-Graves,1488,40500,9,2018,2027,low,active,39142,792,retired
POL_574485,CUST_950083,home,Wolfe-Valenzuela,654,148500,4,2021,2025,medium,active,26711,653,retired
POL_684574,CUST_700556,life,"Zamora, Hart and Sullivan",1675,190080,9,2018,2027,low,inactive,29124,680,retired
POL_595151,CUST_700556,travel,"Gonzales, Miller and Murphy",2183,45000,10,2020,2030,high,active,29124,680,retired
POL_118857,CUST_493396,life,"Castillo, Schultz and Rowe",2684,149688,6,2020,2026,medium,active,28315,748,retired
POL_898678,CUST_493396,home,Smith-Rocha,2926,121500,6,2016,2022,high,active,28315,748,retired
POL_944256,CUST_964915,health,Mccoy LLC,1985,79200,5,2015,2020,high,active,44187,626,retired
POL_955765,CUST_964915,auto,Hardy Group,633,20250,7,2015,2022,medium,inactive,44187,626,retired
POL_373716,CUST_323788,home,Summers-Patton,2028,121500,5,2017,2022,high,inactive,35401,778,self-employed
POL_302578,CUST_193670,health,Hogan-King,1737,50000,10,2018,2028,low,inactive,41056,603,employed
POL_154332,CUST_193670,life,Mcgee-Hall,678,100000,6,2015,2021,high,active,41056,603,employed
POL_921470,CUST_205345,life,Rodriguez PLC,1285,154000,5,2023,2028,low,inactive,58724,711,employed
POL_749154,CUST_409898,auto,Bailey-Ashley,2203,11550,5,2024,2029,low,active,76302,715,employed
POL_952347,CUST_170813,life,Smith-Lopez,1403,158400,5,2018,2023,medium,inactive,58923,746,retired
POL_608600,CUST_975064,health,"White, Stone and Williams",1253,84700,10,2022,2032,high,inactive,57759,625,self-employed
POL_545621,CUST_975064,life,Thomas-Reed,1985,169400,7,2017,2024,high,active,57759,625,self-employed
POL_817582,CUST_271790,health,"Buck, Vaughn and Hansen",1183,91476,4,2023,2027,low,active,36022,620,retired
POL_383104,CUST_146177,life,"Smith, Phillips and Mccann",1277,89100,8,2016,2024,low,active,105484,717,employed
POL_307653,CUST_288056,health,Gutierrez Inc,1805,76230,4,2015,2019,high,active,112465,715,employed
POL_354547,CUST_288056,auto,"Olson, Navarro and Wheeler",1693,22275,9,2024,2033,high,active,112465,715,employed
POL_751779,CUST_617326,life,Mccoy-Vargas,1271,90000,3,2021,2024,low,active,80723,720,employed
POL_307140,CUST_617326,travel,Brown Ltd,1449,55000,1,2020,2021,medium,active,80723,720,employed
POL_888773,CUST_655550,home,Salas-Brown,2201,135000,10,2022,2032,low,active,46872,659,retired
POL_702842,CUST_513507,travel,Jones-Randall,2182,55000,6,2020,2026,medium,active,45754,713,employed
POL_477466,CUST_210790,health,Anderson Group,2801,72600,9,2016,2025,medium,active,85765,717,self-employed
POL_694647,CUST_210790,life,"Phillips, Reese and Oneill",1764,145200,3,2021,2024,low,active,85765,717,self-employed
POL_422158,CUST_515492,life,Garcia LLC,862,176000,8,2021,2029,medium,active,50205,657,self-employed
POL_562199,CUST_333086,health,"Acosta, Mccormick and Perez",1193,87120,5,2016,2021,medium,active,49635,811,retired
POL_412853,CUST_701761,health,"Evans, Lara and Henderson",949,105600,2,2015,2017,medium,active,58411,728,retired
POL_248748,CUST_701761,life,Garcia-Mitchell,1706,211200,4,2022,2026,medium,active,58411,728,retired
POL_335741,CUST_163941,auto,Jones-Gallegos,1704,22500,1,2024,2025,low,inactive,44071,628,self-employed
POL_412397,CUST_950069,auto,Johnson-Neal,833,11550,7,2018,2025,high,active,90134,739,employed
POL_369677,CUST_950069,home,Graham and Sons,2201,165000,10,2020,2030,medium,active,90134,739,employed
POL_569280,CUST_472039,travel,Rangel-Miller,1245,50000,1,2019,2020,low,active,60922,641,employed
POL_245461,CUST_652021,home,Cook-Nelson,1353,165000,8,2021,2029,medium,active,86095,747,employed
POL_731971,CUST_205939,health,Dyer-Johnson,3060,53460,5,2018,2023,high,active,33903,769,self-employed
POL_233980,CUST_286340,home,Flores-Mason,2001,150000,2,2016,2018,medium,active,41416,650,self-employed
POL_152763,CUST_767090,auto,Mcconnell Inc,1640,9450,5,2021,2026,medium,active,59478,757,retired
POL_665737,CUST_672547,life,Watts Ltd,2496,166320,1,2016,2017,high,active,37380,724,retired
POL_800088,CUST_178645,auto,Mayo Inc,1144,11550,5,2017,2022,low,active,49575,749,retired
POL_675018,CUST_792687,home,Mcpherson Group,937,135000,7,2019,2026,medium,active,72836,813,self-employed
POL_774452,CUST_769191,life,"Hogan, Long and Carter",1764,110000,8,2023,2031,medium,active,47144,685,employed
POL_427765,CUST_381607,auto,Garcia-Howe,2272,9450,7,2022,2029,high,active,35972,654,self-employed
POL_677041,CUST_136415,life,Adams-Chapman,2843,132000,3,2018,2021,high,active,79575,646,self-employed
POL_329261,CUST_136415,travel,Wade-Carr,2280,50000,3,2018,2021,medium,inactive,79575,646,self-employed
POL_267227,CUST_974625,health,"Pierce, Butler and Smith",821,96800,10,2017,2027,high,inactive,41329,651,self-employed
POL_633873,CUST_974625,home,Schneider LLC,1725,165000,9,2023,2032,low,active,41329,651,self-employed
POL_733012,CUST_205071,health,Webster LLC,586,72600,2,2019,2021,medium,active,66179,695,self-employed
POL_104736,CUST_205071,home,"Love, Marsh and Bishop",1689,165000,10,2021,2031,medium,active,66179,695,self-employed
POL_511962,CUST_824056,life,Wilson-Martin,2295,209088,10,2017,2027,medium,active,37310,720,retired
POL_329447,CUST_824056,home,"Burton, Olsen and Wu",2106,148500,5,2023,2028,high,active,37310,720,retired
POL_502192,CUST_965938,life,"King, Roth and Estrada",1144,166320,5,2022,2027,low,active,39861,716,retired
POL_760117,CUST_522979,travel,Lucas LLC,850,49500,5,2016,2021,low,active,33853,749,retired
POL_674485,CUST_353690,home,Murray Inc,2477,135000,3,2017,2020,low,active,44334,700,employed
POL_909171,CUST_353690,travel,Jones and Sons,1094,45000,7,2023,2030,medium,active,44334,700,employed
POL_319026,CUST_332103,health,Manning-Phillips,2012,69300,9,2023,2032,medium,active,40716,787,self-employed
POL_887842,CUST_332103,life,"Esparza, Lee and Cole",1894,138600,9,2018,2027,high,active,40716,787,self-employed
POL_519974,CUST_328808,auto,Thomas-Wilson,749,9450,10,2019,2029,high,active,20583,684,retired
POL_883963,CUST_328808,home,Ramos-Taylor,946,135000,1,2019,2020,high,active,20583,684,retired
POL_538085,CUST_390334,home,Payne PLC,1748,165000,5,2021,2026,high,active,53522,850,retired
POL_361742,CUST_842464,auto,Smith-Lee,1998,10500,2,2022,2024,high,active,59323,737,retired
POL_536519,CUST_842464,home,"Hanna, Allen and Vaughan",1065,150000,10,2017,2027,high,inactive,59323,737,retired
POL_289450,CUST_291961,home,"Henry, Thompson and Wallace",720,165000,10,2017,2027,high,active,63247,648,self-employed
